epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9493,3.42246,3.93804,2.58423,0.00246,0.73333,0.01913,0.00563,3.16135,3.54973,2.17939,0.000648649,0.000648649,0.000648649
2,23.1933,2.97178,3.1137,2.16958,0.01022,0.8,0.08979,0.03046,2.78275,3.10658,2.51554,0.00126323,0.00126323,0.00126323
3,34.4965,2.81109,2.91123,2.12132,0.18033,0.24996,0.09163,0.03506,2.73865,2.96623,2.49183,0.00182501,0.00182501,0.00182501
4,45.7711,2.59693,2.85352,2.08466,0.2207,0.2,0.15166,0.05984,2.60856,4.70699,2.40441,0.0017624,0.0017624,0.0017624
