epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33492,3.6482,4.01843,3.04781,0.00157,0.2,0.00108,0.00024,3.59089,4.23318,3.04147,0.00036,0.00036,0.00036
2,16.3129,3.09073,3.61623,2.63907,0.00248,0.73333,0.00399,0.00128,2.7799,3.73141,2.59445,0.000710696,0.000710696,0.000710696
3,23.834,2.88003,2.93128,2.46682,0.00267,0.8,0.07463,0.01604,2.76179,3.33502,2.72209,0.0010313,0.0010313,0.0010313
4,31.4548,2.7924,2.69231,2.40899,0.34624,0.06667,0.14348,0.04611,2.67271,3.00512,2.46674,0.0013218,0.0013218,0.0013218
5,38.8419,2.53281,2.46661,2.26724,0.25337,0.13333,0.18776,0.07079,2.49944,2.86938,2.34378,0.00158221,0.00158221,0.00158221
6,46.4096,2.53714,2.48621,2.17594,0.30798,0.13333,0.21789,0.07228,2.55662,2.89333,2.26421,0.001604,0.001604,0.001604
7,53.7673,2.47191,2.4772,2.12034,0.25663,0.2,0.13614,0.05187,2.65978,2.7479,2.39086,0.0015248,0.0015248,0.0015248
8,61.0524,2.40102,2.27142,2.05826,0.28843,0.33333,0.16423,0.052,2.31758,2.6265,2.21297,0.0014456,0.0014456,0.0014456
