epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4784,3.61211,4.46971,2.49805,0.00216,0.57895,0.00665,0.00204,3.35994,4.30634,2.3211,0.000658537,0.000658537,0.000658537
2,53.1833,3.2758,3.76993,2.02229,0.10182,0.10526,0.03055,0.00555,3.28227,4.09753,1.977,0.00129896,0.00129896,0.00129896
3,79.0522,3.16274,3.61787,2.0229,0.03329,0.14035,0.01907,0.00483,3.36969,5.68295,2.23781,0.00191299,0.00191299,0.00191299
4,105.09,3.23324,3.33872,2.11421,0.09985,0.12281,0.03857,0.00853,3.40915,5.05554,2.35764,0.0018812,0.0018812,0.0018812
5,130.883,3.13254,3.19304,2.00366,0.13996,0.08007,0.03529,0.00666,3.44896,3.31816,2.30556,0.0018416,0.0018416,0.0018416
6,156.829,3.02975,3.05267,1.98096,0.12335,0.24561,0.07024,0.02474,3.13758,3.06444,1.95928,0.001802,0.001802,0.001802
7,182.841,3.06348,2.86492,1.95049,0.10956,0.19298,0.10112,0.03359,3.14168,2.96009,1.94114,0.0017624,0.0017624,0.0017624
8,209.093,2.97839,2.94112,1.89644,0.13085,0.14035,0.06847,0.02297,3.04811,2.98324,1.91201,0.0017228,0.0017228,0.0017228
9,235.503,2.9571,2.85515,1.87638,0.0996,0.12281,0.05052,0.01584,3.14835,3.54156,2.03058,0.0016832,0.0016832,0.0016832
