epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,542.782,2.41362,7.13311,1.84711,0.00118,0.29915,0.00101,0.00031,3.3486,4.16386,2.5811,0.000665605,0.000665605,0.000665605
2,1086.74,2.40886,4.71833,1.81113,0.00209,0.51282,0.00322,0.00087,3.23209,3.86712,2.55485,0.00120038,0.00120038,0.00120038
3,1621.16,2.30008,3.58844,1.77606,0.00353,0.59829,0.01135,0.0027,3.07183,3.75419,2.3762,0.00160315,0.00160315,0.00160315
