epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4535,3.7066,4.34497,2.07294,0.05829,0.08403,0.01649,0.00346,3.37848,3.88066,1.83644,0.000663594,0.000663594,0.000663594
2,137.234,3.62331,3.58676,1.90572,0.10326,0.04202,0.03391,0.00729,3.35966,3.34219,1.76881,0.00130392,0.00130392,0.00130392
3,204.643,3.62595,3.3148,1.91005,0.10937,0.05882,0.02401,0.00565,3.47101,3.2076,1.80333,0.00191785,0.00191785,0.00191785
4,272.373,3.54874,3.18184,1.83512,0.09122,0.04202,0.02684,0.00578,3.44636,3.07553,1.79417,0.0018812,0.0018812,0.0018812
