epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.841,3.2228,4.05212,1.6135,0.2367,0.1479,0.09503,0.02395,3.48484,3.2894,1.62616,0.000666208,0.000666208,0.000666208
2,974.572,3.08979,2.92297,1.53492,0.32809,0.17355,0.12028,0.02999,3.24678,2.81705,1.51832,0.00106897,0.00106897,0.00106897
3,1461.66,2.95802,2.53095,1.50769,0.32275,0.18764,0.14504,0.03896,3.22595,2.53508,1.54406,0.00120772,0.00120772,0.00120772
4,1953.86,2.83903,2.33992,1.44359,0.32852,0.23179,0.17033,0.05292,3.01925,2.34444,1.4742,0.000812,0.000812,0.000812
