epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0477,3.14192,3.63626,2.06041,0.19513,0.08547,0.05284,0.01958,2.89128,4.10124,1.8924,0.000663265,0.000663265,0.000663265
2,132.922,2.87326,3.11415,1.87625,0.2474,0.07692,0.05841,0.01645,2.96506,3.15774,1.94384,0.00119827,0.00119827,0.00119827
3,198.673,2.84922,2.90632,1.9032,0.15363,0.19658,0.08189,0.0282,2.95325,3.88775,1.97521,0.00160127,0.00160127,0.00160127
4,263.853,2.81061,2.75676,1.8844,0.21289,0.17949,0.11859,0.0384,2.88503,2.73179,1.92483,0.001406,0.001406,0.001406
5,329.394,2.70435,2.55151,1.79772,0.30865,0.20513,0.15137,0.06279,2.70484,2.57107,1.75533,0.001208,0.001208,0.001208
6,394.991,2.57317,2.37246,1.73765,0.34937,0.26163,0.24312,0.0953,2.50965,2.3201,1.75824,0.00101,0.00101,0.00101
7,460.398,2.4472,2.2176,1.68718,0.49887,0.22222,0.25524,0.09341,2.55428,2.3084,1.69235,0.000812,0.000812,0.000812
8,525.142,2.40057,2.18077,1.67586,0.56792,0.25641,0.31026,0.11959,2.46721,2.04295,1.6493,0.000614,0.000614,0.000614
9,590.345,2.33828,1.99929,1.62037,0.44521,0.33333,0.34995,0.14088,2.43595,1.97049,1.6258,0.000416,0.000416,0.000416
10,655.086,2.24664,1.93029,1.60998,0.50703,0.35897,0.39521,0.16191,2.3614,1.87593,1.58543,0.000218,0.000218,0.000218
